,imgs,masks
0,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case21_14.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case21_14.png
1,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case21_25.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case21_25.png
2,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case10_13.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case10_13.png
3,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case14_10.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case14_10.png
4,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case29_15.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case29_15.png
5,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case14_11.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case14_11.png
6,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case27_10.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case27_10.png
7,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case02_16.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case02_16.png
8,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case12_13.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case12_13.png
9,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case27_15.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case27_15.png
10,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case27_18.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case27_18.png
11,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case09_15.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case09_15.png
12,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case08_12.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case08_12.png
13,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case22_11.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case22_11.png
14,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case09_10.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case09_10.png
15,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case23_17.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case23_17.png
16,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case02_19.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case02_19.png
17,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case19_14.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case19_14.png
18,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case25_13.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case25_13.png
19,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case18_11.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case18_11.png
20,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case25_15.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case25_15.png
21,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case23_13.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case23_13.png
22,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case20_18.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case20_18.png
23,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case19_10.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case19_10.png
24,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case23_18.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case23_18.png
25,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case26_27.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case26_27.png
26,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case10_16.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case10_16.png
27,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case08_10.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case08_10.png
28,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case11_9.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case11_9.png
29,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case17_19.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case17_19.png
30,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case14_12.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case14_12.png
31,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case21_21.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case21_21.png
32,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/imgs_prostate/Case28_18.png,/storage/workspaces/artorg_aimi/ws_00000/Negin/MRI/dataset/BMC/masks_prostate/Case28_18.png
